timestamp,dimensions,forcing_type,mc_samples,noise_model,L2_error_last,loss_total_last
2025-06-08 09:26:20,6,exp_linear,1,compound_poisson_process,0.17146547138690948,0.8034542202949524
2025-06-07 11:29:39,4,square,10,compound_poisson_process,0.09349758923053741,5.622527122497559
2025-06-07 11:16:43,4,linear,5,time_dependant_gaussian_white_noise,0.06619159877300262,0.3267378509044647
2025-06-07 11:04:04,2,linear,1,ou_process,0.020573219284415245,0.038486264646053314
2025-06-07 11:08:50,2,linear,10,compound_poisson_process,0.0355568453669548,0.2262214720249176
2025-06-07 11:44:35,6,square,1,compound_poisson_process,0.3261016011238098,7.9890666007995605
2025-06-07 11:11:38,2,square,5,time_dependant_gaussian_white_noise,0.019219931215047836,0.0799621045589447
2025-06-08 09:35:49,8,exp_linear,5,ou_process,0.39568567276000977,3.154963254928589
2025-06-07 11:06:09,2,linear,2,compound_poisson_process,0.038070011883974075,0.32974326610565186
2025-06-08 09:10:48,2,exp_linear,5,compound_poisson_process,0.03737988695502281,0.08122219890356064
2025-06-08 09:34:20,8,exp_linear,2,ou_process,0.4106716215610504,2.74426007270813
2025-06-08 09:11:26,2,exp_linear,10,compound_poisson_process,0.032569147646427155,0.08620250970125198
2025-06-07 11:10:47,2,square,1,time_dependant_gaussian_white_noise,0.030608268454670906,0.07326677441596985
2025-06-08 09:11:15,4,exp_linear,1,time_dependant_gaussian_white_noise,0.06270671635866165,0.22283367812633514
2025-06-07 11:17:52,4,linear,10,time_dependant_gaussian_white_noise,0.06796689331531525,0.33491426706314087
2025-06-07 12:07:24,8,square,5,time_dependant_gaussian_white_noise,0.43328237533569336,3.4607484340667725
2025-06-07 11:42:53,6,square,1,ou_process,0.14489053189754486,0.7054499983787537
2025-06-07 11:47:29,6,square,10,compound_poisson_process,0.33502110838890076,6.34663200378418
2025-06-07 11:04:11,2,linear,5,time_dependant_gaussian_white_noise,0.027264030650258064,0.07034581899642944
2025-06-07 11:19:32,4,linear,5,compound_poisson_process,0.11048014461994171,0.7559963464736938
2025-06-07 11:25:43,4,square,1,ou_process,0.08330336958169937,0.2606010138988495
2025-06-07 11:42:14,6,square,5,time_dependant_gaussian_white_noise,0.1521362066268921,0.8375690579414368
2025-06-07 11:49:53,8,linear,1,time_dependant_gaussian_white_noise,0.4385574460029602,2.988618850708008
2025-06-08 09:25:48,6,exp_linear,10,ou_process,0.11759624630212784,0.593688428401947
2025-06-07 11:42:20,6,square,2,time_dependant_gaussian_white_noise,0.14063066244125366,0.7303516864776611
2025-06-07 11:15:20,2,square,10,compound_poisson_process,0.04740269109606743,1.839203953742981
2025-06-08 09:18:17,4,exp_linear,2,compound_poisson_process,0.090572789311409,0.3619967997074127
2025-06-07 11:32:25,6,linear,1,ou_process,0.1368759274482727,0.8303254842758179
2025-06-07 11:04:30,2,linear,5,ou_process,0.026636021211743355,0.04176105931401253
2025-06-08 09:12:49,4,exp_linear,1,ou_process,0.0657414048910141,0.2519266903400421
2025-06-07 11:42:53,6,square,2,ou_process,0.13869094848632812,0.6717778444290161
2025-06-07 11:25:49,4,square,5,ou_process,0.0803544670343399,0.29032841324806213
2025-06-08 09:19:46,6,exp_linear,1,time_dependant_gaussian_white_noise,0.11333372443914413,0.6613938808441162
2025-06-07 12:07:29,8,square,1,time_dependant_gaussian_white_noise,0.4447740912437439,3.112168312072754
2025-06-07 11:53:31,8,linear,5,ou_process,0.4596082866191864,3.2748806476593018
2025-06-08 09:24:16,6,exp_linear,5,ou_process,0.13644671440124512,0.5906930565834045
2025-06-08 09:09:13,2,exp_linear,2,compound_poisson_process,0.03470264747738838,0.09853511303663254
2025-06-07 11:12:11,2,square,1,compound_poisson_process,0.06390947848558426,1.3570042848587036
2025-06-08 09:11:46,4,exp_linear,5,time_dependant_gaussian_white_noise,0.06157812103629112,0.2569778561592102
2025-06-08 09:31:17,8,exp_linear,5,time_dependant_gaussian_white_noise,0.38741031289100647,2.39990496635437
2025-06-07 11:19:45,4,linear,10,compound_poisson_process,0.10102278739213943,0.7041539549827576
2025-06-07 11:59:39,8,linear,2,compound_poisson_process,0.49754905700683594,3.4373068809509277
2025-06-07 11:27:22,4,square,2,compound_poisson_process,0.09928197413682938,5.088277816772461
2025-06-08 09:37:13,8,exp_linear,10,compound_poisson_process,0.4375855326652527,4.003671646118164
2025-06-07 11:29:49,6,linear,1,time_dependant_gaussian_white_noise,0.12893560528755188,0.7631027698516846
2025-06-08 09:04:02,2,exp_linear,1,ou_process,0.029197294265031815,0.015784379094839096
2025-06-07 11:53:51,8,linear,10,ou_process,0.43917250633239746,2.8135664463043213
2025-06-08 09:18:44,4,exp_linear,10,compound_poisson_process,0.08016405254602432,0.36106470227241516
2025-06-07 12:07:58,8,square,1,ou_process,0.47700634598731995,3.45729923248291
2025-06-08 09:28:40,6,exp_linear,5,compound_poisson_process,0.15044178068637848,0.8249589800834656
2025-06-07 11:14:01,2,square,5,compound_poisson_process,0.048112474381923676,2.1984217166900635
2025-06-07 11:25:22,4,square,10,time_dependant_gaussian_white_noise,0.08897115290164948,0.36093562841415405
2025-06-07 11:19:32,4,linear,10,ou_process,0.08528386056423187,0.2957683205604553
2025-06-08 09:36:38,8,exp_linear,1,compound_poisson_process,0.5075049996376038,4.177798748016357
2025-06-07 12:08:57,8,square,2,compound_poisson_process,0.5956147313117981,9.585070610046387
2025-06-07 11:25:49,4,square,2,ou_process,0.07835301756858826,0.28696146607398987
2025-06-07 11:52:22,8,linear,2,time_dependant_gaussian_white_noise,0.42314958572387695,3.625826835632324
2025-06-07 12:01:02,8,linear,10,compound_poisson_process,0.5033314228057861,7.285907745361328
2025-06-07 11:25:23,4,square,2,time_dependant_gaussian_white_noise,0.07977257668972015,0.35601937770843506
2025-06-08 09:15:12,4,exp_linear,5,ou_process,0.06970787793397903,0.23186933994293213
2025-06-08 09:04:08,2,exp_linear,2,time_dependant_gaussian_white_noise,0.023093746975064278,0.02048865705728531
2025-06-07 12:08:29,8,square,1,compound_poisson_process,0.6318129897117615,7.023580074310303
2025-06-07 12:07:30,8,square,2,time_dependant_gaussian_white_noise,0.42918723821640015,2.8934531211853027
2025-06-07 11:33:15,6,linear,5,ou_process,0.13893620669841766,0.6153988838195801
2025-06-08 09:04:12,2,exp_linear,2,ou_process,0.0316162072122097,0.0204926785081625
2025-06-07 11:32:57,6,linear,2,ou_process,0.14387014508247375,0.7805531024932861
2025-06-07 11:18:17,4,linear,1,ou_process,0.08345810323953629,0.28810861706733704
2025-06-08 09:36:24,8,exp_linear,2,compound_poisson_process,0.4469347894191742,3.2671525478363037
2025-06-07 11:30:27,6,linear,2,time_dependant_gaussian_white_noise,0.12582284212112427,0.720547080039978
2025-06-07 11:05:58,2,linear,1,compound_poisson_process,0.037512850016355515,0.2862031161785126
2025-06-07 11:04:11,2,linear,10,time_dependant_gaussian_white_noise,0.032361987978219986,0.07202942669391632
2025-06-08 09:20:06,6,exp_linear,2,time_dependant_gaussian_white_noise,0.11742643266916275,0.6281741857528687
2025-06-08 09:15:57,4,exp_linear,10,ou_process,0.07240425795316696,0.24981848895549774
2025-06-07 11:42:49,6,square,10,time_dependant_gaussian_white_noise,0.13282883167266846,0.7464278936386108
2025-06-08 09:23:20,6,exp_linear,1,ou_process,0.1399610936641693,0.7421896457672119
2025-06-07 11:04:03,2,linear,2,ou_process,0.026166507974267006,0.03778931498527527
2025-06-08 09:16:08,4,exp_linear,1,compound_poisson_process,0.08452799916267395,0.3412941098213196
2025-06-08 09:33:26,8,exp_linear,1,ou_process,0.4284566044807434,3.353984832763672
2025-06-07 11:26:30,4,square,10,ou_process,0.08323697000741959,0.294549822807312
2025-06-07 11:18:30,4,linear,2,ou_process,0.09096094965934753,0.3287329077720642
2025-06-07 11:53:36,8,linear,2,ou_process,0.43273288011550903,2.928227663040161
2025-06-07 11:19:32,4,linear,2,compound_poisson_process,0.10747959464788437,0.7238299250602722
2025-06-07 11:37:49,6,linear,5,compound_poisson_process,0.19673535227775574,1.226457118988037
2025-06-07 12:07:54,8,square,2,ou_process,0.4392625391483307,2.9180421829223633
2025-06-07 11:46:54,6,square,5,compound_poisson_process,0.32013586163520813,4.238178253173828
2025-06-08 09:35:56,8,exp_linear,10,ou_process,0.5112372636795044,3.840277671813965
2025-06-08 09:07:35,2,exp_linear,1,compound_poisson_process,0.03818624094128609,0.06814588606357574
2025-06-07 11:03:46,2,linear,1,time_dependant_gaussian_white_noise,0.02605651505291462,0.06413815915584564
